epoch,train_loss,val_loss,mean_pixel_acc,miou
0,0.3743,0.5198,0.5449,0.4225
1,0.2583,0.4918,0.5568,0.4326
2,0.2094,0.4802,0.5525,0.4340
3,0.1737,0.4812,0.5736,0.4420
4,0.1498,0.4802,0.5716,0.4416
5,0.1271,0.4876,0.5758,0.4442
6,0.1109,0.5021,0.5856,0.4439
7,0.0994,0.5066,0.5727,0.4442
8,0.0899,0.5223,0.5732,0.4450
9,0.0830,0.5328,0.5793,0.4469
10,0.0782,0.5362,0.5888,0.4490
11,0.0737,0.5469,0.5893,0.4471
12,0.0692,0.5540,0.5922,0.4465
13,0.0663,0.5702,0.5851,0.4456
14,0.0629,0.5728,0.5841,0.4458
15,0.0599,0.5809,0.5879,0.4454
16,0.0578,0.5861,0.5853,0.4464
17,0.0563,0.5871,0.5896,0.4457
18,0.0539,0.5895,0.5842,0.4464
19,0.0528,0.5980,0.5880,0.4454
20,0.0500,0.6091,0.5793,0.4440
21,0.0490,0.6126,0.5854,0.4467
22,0.0472,0.6153,0.5877,0.4459
23,0.0458,0.6340,0.5868,0.4458
24,0.0453,0.6340,0.5837,0.4436
25,0.0438,0.6431,0.5896,0.4477
26,0.0423,0.6527,0.5828,0.4426
27,0.0421,0.6568,0.5818,0.4441
28,0.0410,0.6319,0.5913,0.4438
29,0.0400,0.6654,0.5869,0.4433
30,0.0384,0.6507,0.5850,0.4428
31,0.0380,0.6599,0.5890,0.4424
32,0.0372,0.6783,0.5830,0.4431
33,0.0365,0.6817,0.5886,0.4440
34,0.0358,0.6827,0.5840,0.4432
35,0.0349,0.6938,0.5827,0.4440
36,0.0342,0.7035,0.5917,0.4419
37,0.0336,0.7008,0.5871,0.4426
38,0.0327,0.7081,0.5840,0.4406
39,0.0317,0.7090,0.5854,0.4428
40,0.0314,0.7228,0.5836,0.4407
41,0.0310,0.7274,0.5850,0.4392
42,0.0305,0.7203,0.5882,0.4414
43,0.0298,0.7230,0.5824,0.4409
44,0.0297,0.7496,0.5868,0.4432
45,0.0293,0.7397,0.5832,0.4420
46,0.0279,0.7465,0.5844,0.4387
47,0.0276,0.7370,0.5876,0.4393
48,0.0278,0.7480,0.5841,0.4384
49,0.0269,0.7527,0.5823,0.4403
50,0.0262,0.7568,0.5866,0.4380
51,0.0260,0.7576,0.5845,0.4366
52,0.0259,0.7555,0.5865,0.4403
53,0.0254,0.7734,0.5871,0.4378
54,0.0247,0.7787,0.5836,0.4367
55,0.0244,0.7702,0.5849,0.4371
56,0.0240,0.7860,0.5834,0.4389
57,0.0235,0.7942,0.5823,0.4366
58,0.0234,0.7958,0.5843,0.4369
59,0.0227,0.7908,0.5824,0.4388
60,0.0223,0.8111,0.5830,0.4377
61,0.0218,0.8269,0.5843,0.4358
62,0.0222,0.8183,0.5817,0.4366
63,0.0219,0.8049,0.5856,0.4355
64,0.0214,0.8289,0.5835,0.4376
65,0.0208,0.8531,0.5809,0.4374
66,0.0206,0.8164,0.5856,0.4375
67,0.0203,0.8385,0.5822,0.4371
68,0.0200,0.8254,0.5815,0.4352
69,0.0196,0.8324,0.5817,0.4336
70,0.0195,0.8357,0.5818,0.4349
71,0.0192,0.8710,0.5815,0.4338
72,0.0191,0.8596,0.5787,0.4342
73,0.0190,0.8353,0.5791,0.4329
74,0.0181,0.8622,0.5827,0.4345
75,0.0179,0.9092,0.5800,0.4325
76,0.0181,0.8692,0.5823,0.4340
77,0.0176,0.9193,0.5754,0.4333
78,0.0171,0.9070,0.5834,0.4331
79,0.0172,0.9090,0.5832,0.4341
