epoch,train_loss,val_loss,mean_pixel_acc,miou
0,0.4166,0.4859,0.5472,0.4321
1,0.2902,0.4649,0.5638,0.4438
2,0.2297,0.4513,0.5629,0.4470
3,0.1894,0.4528,0.5784,0.4516
4,0.1609,0.4595,0.5769,0.4540
5,0.1360,0.4628,0.5856,0.4564
6,0.1200,0.4809,0.5865,0.4566
7,0.1090,0.4941,0.5844,0.4591
8,0.1001,0.5038,0.5901,0.4562
9,0.0921,0.5051,0.5963,0.4609
10,0.0863,0.5187,0.5932,0.4573
11,0.0814,0.5261,0.5954,0.4596
12,0.0772,0.5485,0.5951,0.4587
13,0.0734,0.5487,0.5909,0.4586
14,0.0703,0.5498,0.5929,0.4575
15,0.0677,0.5666,0.5968,0.4598
16,0.0642,0.5910,0.5956,0.4590
17,0.0630,0.5923,0.5959,0.4572
18,0.0610,0.5927,0.5933,0.4590
19,0.0584,0.5859,0.5961,0.4570
20,0.0571,0.5959,0.5880,0.4582
21,0.0552,0.6045,0.6003,0.4583
22,0.0546,0.6172,0.5907,0.4557
23,0.0528,0.6271,0.5950,0.4573
24,0.0516,0.6332,0.5918,0.4550
25,0.0510,0.6209,0.5991,0.4559
26,0.0495,0.6382,0.5939,0.4564
27,0.0479,0.6741,0.5899,0.4557
28,0.0467,0.6710,0.5915,0.4557
29,0.0464,0.6564,0.5913,0.4567
30,0.0455,0.6694,0.5954,0.4571
31,0.0451,0.6607,0.5944,0.4550
32,0.0441,0.7100,0.5908,0.4559
33,0.0426,0.6693,0.5966,0.4540
34,0.0426,0.6927,0.5947,0.4551
35,0.0414,0.6977,0.5933,0.4548
36,0.0405,0.7275,0.5945,0.4549
37,0.0401,0.7015,0.5937,0.4539
38,0.0398,0.7028,0.5915,0.4541
39,0.0383,0.7264,0.5925,0.4546
40,0.0383,0.7087,0.5925,0.4532
41,0.0375,0.7360,0.5931,0.4529
42,0.0373,0.7061,0.5966,0.4529
43,0.0362,0.7276,0.5926,0.4541
44,0.0363,0.7297,0.5891,0.4530
45,0.0352,0.7517,0.5952,0.4534
46,0.0347,0.7233,0.5911,0.4513
47,0.0348,0.7578,0.5933,0.4509
48,0.0343,0.7380,0.5947,0.4509
49,0.0334,0.7596,0.5949,0.4518
50,0.0330,0.7578,0.5925,0.4505
51,0.0329,0.7704,0.5902,0.4522
52,0.0325,0.7550,0.5947,0.4517
53,0.0318,0.7565,0.5970,0.4511
54,0.0319,0.7658,0.5913,0.4523
55,0.0312,0.7528,0.5915,0.4498
56,0.0308,0.7731,0.5937,0.4489
