    epoch,train_loss,val_loss,mean_pixel_acc,miou
    0,1.4277,1.3674,0.0476,0.0332 
    1,1.3650,1.2816,0.0476,0.0332 
    2,1.3136,1.3680,0.0476,0.0332 
    3,1.2749,1.2045,0.0545,0.0398 
    4,1.2100,1.2205,0.0776,0.0481 
    5,1.1571,1.0889,0.0759,0.0521 
    6,1.0690,0.9871,0.1086,0.0793 
    7,1.0048,0.9896,0.1196,0.0832 
    8,0.9607,0.9319,0.1544,0.1043 
    9,0.9255,0.9182,0.1319,0.0957 
    10,0.8919,0.8792,0.1972,0.1307 
    11,0.8487,0.8372,0.2095,0.1486 
    12,0.8017,0.8252,0.1907,0.1322 
    13,0.7595,0.8001,0.2350,0.1820 
    14,0.7292,0.7604,0.2568,0.1946 
    15,0.6935,0.7715,0.2829,0.2144 
    16,0.6625,0.7623,0.3074,0.2335 
    17,0.6262,0.7241,0.3203,0.2420 
    18,0.6056,0.7219,0.3227,0.2438 
    19,0.5735,0.7164,0.3372,0.2640 
    20,0.5422,0.7522,0.3523,0.2586 
    21,0.5240,0.7420,0.3546,0.2745 
    22,0.4945,0.7322,0.3400,0.2661 
    23,0.4723,0.7494,0.3420,0.2707 
    24,0.4550,0.7163,0.3601,0.2812 
    25,0.4281,0.7340,0.3848,0.2851 
    26,0.4171,0.7244,0.4160,0.3067 
    27,0.4040,0.7159,0.3937,0.3058 
    28,0.3814,0.7630,0.3691,0.2854 
    29,0.3724,0.7559,0.4107,0.2916 
    30,0.3573,0.7776,0.3697,0.2782 
    31,0.3533,0.7092,0.4345,0.3241 
    32,0.3365,0.7511,0.4404,0.3239 
    33,0.3237,0.7504,0.3778,0.2983 
    34,0.3118,0.7849,0.4258,0.3265 
    35,0.3270,0.7548,0.4219,0.3139 
    36,0.3109,0.7611,0.4098,0.3123 
    37,0.2994,0.7489,0.4204,0.3243 
    38,0.2910,0.7725,0.4234,0.3289 
    39,0.2833,0.7705,0.4294,0.3225 
    40,0.2782,0.8014,0.4172,0.3177 
    41,0.2767,0.8317,0.4257,0.3264 
    42,0.2600,0.8228,0.4220,0.3335 
    43,0.2699,0.7925,0.4569,0.3374 
    44,0.2701,0.7879,0.4431,0.3358 
    45,0.2508,0.7862,0.4446,0.3373 
    46,0.2437,0.9828,0.3745,0.2926 
    47,0.2409,0.7634,0.4292,0.3371 
    48,0.2336,0.7991,0.4357,0.3364 
    49,0.2395,0.7628,0.4198,0.3257 
    50,0.2304,0.7532,0.4475,0.3367 
    51,0.2397,0.7874,0.4183,0.3294 
    52,0.2245,0.7958,0.4380,0.3410 
    53,0.2222,0.8302,0.4636,0.3449 
    54,0.2161,0.7994,0.4124,0.3242 
    55,0.2168,0.7862,0.4608,0.3396 
    56,0.2095,0.7830,0.3793,0.3110 
    57,0.2115,0.7507,0.4776,0.3468 
    58,0.2040,0.8833,0.4030,0.2860 
    59,0.2057,0.7820,0.4514,0.3491
    60,0.2027,0.8273,0.4312,0.3089 
    61,0.1980,0.8325,0.4422,0.3462 
    62,0.1954,0.7987,0.4428,0.3471 
    63,0.1951,0.7814,0.4214,0.3295 
    64,0.1966,0.7674,0.4447,0.3450 
    65,0.1879,0.7556,0.4870,0.3492 
    66,0.3034,1.1158,0.4551,0.3363 
    67,0.1760,0.7771,0.4063,0.3201 
    68,0.1830,0.7891,0.4485,0.3514 
    69,0.1811,0.7676,0.4586,0.3431 
    70,0.1826,0.8057,0.4442,0.3484 
    71,0.1863,0.8139,0.4091,0.2898 
    72,0.1731,0.8087,0.4645,0.3421 
    73,0.1711,0.7736,0.4438,0.3409 
    74,0.1694,0.7938,0.4700,0.3502
    75,0.1780,0.7477,0.4454,0.3513
    76,0.1795,0.7736,0.4681,0.3530
    77,0.1640,0.7977,0.4549,0.3323
    78,0.1813,0.7986,0.4222,0.3242
    79,0.1644,0.8034,0.4382,0.3384
    80,0.1783,0.9363,0.4690,0.3536
    81,0.1622,0.7389,0.4508,0.3445
    82,0.1658,0.7706,0.4622,0.3532
    83,0.1739,0.7504,0.4547,0.3500
    84,0.1671,0.7416,0.4570,0.3562
    85,0.1741,0.7565,0.4249,0.3217
    86,0.1728,0.7677,0.4486,0.3504
    87,0.1659,0.7533,0.4340,0.3361
    88,0.1608,0.7469,0.4451,0.3482
    89,0.1605,0.7583,0.4748,0.3601
    90,0.1610,0.7862,0.4446,0.3510
    91,0.1668,0.7842,0.4276,0.3161
    92,0.1534,0.7753,0.4373,0.3407
    93,0.1582,0.7403,0.4445,0.3462
    94,0.1536,0.7667,0.4643,0.3523
    95,0.1525,0.7531,0.4419,0.3403
    96,0.1551,0.7719,0.4416,0.3417
    97,0.1576,0.7463,0.4487,0.3377
    98,0.1510,0.7562,0.4782,0.3550
    99,0.1547,0.7469,0.4663,0.3616
    100,0.1446,0.7772,0.4336,0.3318
    101,0.1478,0.7769,0.4407,0.3384
    102,0.1494,0.7604,0.4435,0.3443
    103,0.1444,0.7708,0.4216,0.3315
    104,0.1509,0.7837,0.4515,0.3534
    105,0.1425,0.8168,0.4505,0.3126
    106,0.1424,0.7962,0.4169,0.3160
    107,0.1398,0.7847,0.4368,0.3388
    108,0.1411,0.7859,0.4499,0.3370
    109,0.1423,0.7698,0.4557,0.3441
    110,0.1336,0.8024,0.4281,0.3178
    111,0.1384,0.7928,0.4443,0.3357
    112,0.1374,0.8291,0.4064,0.3254
    113,0.1373,0.7386,0.4435,0.3453
    114,0.1481,0.7918,0.4351,0.3431
    115,0.1316,0.8056,0.4242,0.3190
    116,0.1398,0.8322,0.4502,0.3373
    117,0.1372,0.7225,0.4283,0.3393
    118,0.1434,0.7476,0.4479,0.3410
