epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.5444,1.3234,0.0476,0.0332
1,1.4723,1.2757,0.0476,0.0332
2,1.4420,1.2561,0.0476,0.0332
3,1.4191,1.2677,0.0476,0.0332
4,1.4000,1.2469,0.0479,0.0335
5,1.3591,1.1163,0.0773,0.0525
6,1.2333,1.0697,0.0813,0.0556
7,1.1858,1.0261,0.0884,0.0593
8,1.1169,0.9792,0.1421,0.0974
9,1.0442,0.9050,0.1536,0.1118
10,1.0055,0.8650,0.1731,0.1307
11,0.9542,0.8572,0.1761,0.1270
12,0.9142,0.8089,0.2156,0.1556
13,0.8753,0.8087,0.2273,0.1658
14,0.8430,0.7876,0.2451,0.1836
15,0.8074,0.8079,0.2636,0.1839
16,0.7733,0.7850,0.2807,0.2088
17,0.7419,0.7748,0.2686,0.1983
18,0.7090,0.8039,0.3099,0.2205
19,0.6754,0.7567,0.3271,0.2381
20,0.6428,0.7561,0.3146,0.2383
21,0.6027,0.7532,0.3539,0.2568
22,0.5717,0.7923,0.3374,0.2504
23,0.5422,0.7863,0.3280,0.2493
24,0.5207,0.7564,0.3672,0.2728
25,0.4921,0.7838,0.3426,0.2637
26,0.4636,0.8021,0.3532,0.2711
27,0.4421,0.7747,0.3730,0.2830
28,0.4232,0.8355,0.3486,0.2555
29,0.4026,0.8401,0.3652,0.2812
30,0.3852,0.9094,0.3760,0.2622
31,0.3743,0.8364,0.3582,0.2630
32,0.3747,0.8639,0.3824,0.2914
33,0.3480,0.9012,0.3839,0.2807
34,0.3404,0.9301,0.3543,0.2733
35,0.3385,0.8972,0.3683,0.2693
36,0.3198,0.8403,0.3776,0.2825
37,0.3030,0.9423,0.3732,0.2484
38,0.2970,0.9114,0.4009,0.2855
39,0.2913,0.8399,0.3936,0.2917
40,0.2760,0.8717,0.3984,0.2842
41,0.2706,0.9063,0.4022,0.3003
42,0.2659,0.8905,0.4056,0.2989
43,0.2581,0.9580,0.3947,0.2901
44,0.2514,0.9817,0.4034,0.2703
45,0.2467,0.8520,0.3949,0.2952
46,0.2429,0.8623,0.3893,0.2892
47,0.2379,0.9277,0.4065,0.2980
48,0.2304,0.9386,0.3871,0.2983
49,0.2325,0.9034,0.4076,0.3010
50,0.2233,0.9584,0.3716,0.2752
51,0.2174,0.9078,0.4027,0.2991
52,0.2121,0.9420,0.4038,0.3060
53,0.2083,0.9420,0.3870,0.2850
54,0.2127,0.9217,0.3817,0.2796
