epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.4986,1.3277,0.0477,0.0333
1,1.3496,1.2506,0.0580,0.0418
2,1.2767,1.1779,0.0705,0.0490
3,1.1905,1.1066,0.0743,0.0535
4,1.1212,1.1042,0.1006,0.0698
5,1.0656,1.0795,0.1249,0.0818
6,1.0229,1.0773,0.1496,0.0874
7,0.9815,0.9523,0.1472,0.1038
8,0.9346,0.8873,0.1844,0.1252
9,0.8889,0.8618,0.1520,0.1187
10,0.8555,0.8352,0.2124,0.1461
11,0.8241,0.8371,0.1863,0.1402
12,0.7878,0.8129,0.2181,0.1558
13,0.7579,0.8280,0.2624,0.1835
14,0.7234,0.7599,0.2844,0.2033
15,0.6878,0.7424,0.2597,0.2070
16,0.6612,0.7948,0.2667,0.1952
17,0.6318,0.7285,0.3378,0.2495
18,0.6029,0.7405,0.3371,0.2453
19,0.5828,0.8040,0.2772,0.2260
20,0.5569,0.6905,0.3584,0.2716
21,0.5294,0.7223,0.3644,0.2679
22,0.5029,0.7902,0.3261,0.2387
23,0.4898,0.7346,0.3928,0.2807
24,0.4682,0.7178,0.3913,0.2873
25,0.4628,0.7367,0.3377,0.2701
26,0.4333,0.7126,0.4228,0.2999
27,0.4138,0.7282,0.3685,0.2909
28,0.3968,0.7483,0.3833,0.2962
29,0.3820,0.7532,0.4013,0.2872
30,0.3684,0.8039,0.3829,0.2873
31,0.3579,0.7656,0.4040,0.3124
32,0.3357,0.7794,0.4037,0.3133
33,0.3238,0.7848,0.4241,0.3056
34,0.3210,0.8076,0.4116,0.2992
35,0.3002,0.8870,0.3901,0.2988
36,0.3228,0.7815,0.4013,0.3096
37,0.2833,0.7569,0.4459,0.3335
38,0.2825,0.7942,0.4148,0.3103
39,0.2661,0.7265,0.4256,0.3286
40,0.3044,0.8116,0.4335,0.3169
41,0.2573,0.8643,0.4404,0.3218
42,0.2561,0.7607,0.4301,0.3287
43,0.2444,0.7562,0.4328,0.3339
44,0.2352,0.8319,0.4176,0.3221
45,0.2504,0.8308,0.4412,0.3369
46,0.2132,0.8555,0.4426,0.3276
47,0.2193,0.8647,0.4532,0.3365
48,0.2116,0.8442,0.4539,0.3290
49,0.2112,0.8501,0.4014,0.3096
50,0.2026,0.8482,0.4468,0.3275
51,0.1988,0.7995,0.4514,0.3338
52,0.1970,0.7950,0.4695,0.3463
53,0.1929,0.8388,0.4540,0.3461
54,0.1934,0.8041,0.4619,0.3500
55,0.1872,0.9569,0.4038,0.2838
56,0.2115,0.8215,0.4341,0.3379
