epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.5633,1.3939,0.0476,0.0332
1,1.4202,1.2846,0.0719,0.0462
2,1.2894,1.1245,0.0796,0.0526
3,1.1944,1.0199,0.0875,0.0617
4,1.0987,0.9648,0.1294,0.0858
5,1.0247,0.9005,0.1790,0.1172
6,0.9657,0.8638,0.1566,0.1159
7,0.9111,0.8121,0.1898,0.1357
8,0.8670,0.8122,0.2244,0.1516
9,0.8272,0.7753,0.2437,0.1782
10,0.7922,0.7585,0.2580,0.1977
11,0.7551,0.7444,0.2916,0.2188
12,0.7213,0.8109,0.2313,0.1868
13,0.6871,0.7445,0.3139,0.2247
14,0.6509,0.7986,0.3288,0.2229
15,0.6263,0.7657,0.2831,0.2302
16,0.5886,0.7624,0.3080,0.2372
17,0.5597,0.7308,0.3097,0.2510
18,0.5432,0.7015,0.3690,0.2718
19,0.5052,0.7198,0.3871,0.2889
20,0.4837,0.7104,0.3807,0.2943
21,0.4555,0.7657,0.3712,0.2781
22,0.4420,0.7680,0.3936,0.2966
23,0.4234,0.7449,0.3888,0.3058
24,0.4050,0.7957,0.3743,0.2847
25,0.3833,0.7884,0.3990,0.2919
26,0.3692,0.7709,0.4023,0.3009
27,0.3602,0.7442,0.4259,0.3204
28,0.3459,0.7629,0.4105,0.3096
29,0.3361,0.7286,0.4077,0.3115
30,0.3253,0.7397,0.4050,0.3176
31,0.3080,0.7741,0.4066,0.3204
32,0.3069,0.7659,0.3935,0.3128
33,0.2994,0.8403,0.4246,0.3174
34,0.2931,0.7724,0.4019,0.3233
35,0.2810,0.7882,0.4350,0.3297
36,0.2911,0.7464,0.4185,0.3252
37,0.2579,0.7767,0.4142,0.3091
38,0.2948,0.7749,0.4437,0.3346
39,0.2493,0.8272,0.4346,0.3335
40,0.4864,0.7488,0.4404,0.3352
41,0.2414,0.7668,0.4574,0.3321
42,0.2383,0.7965,0.4544,0.3427
43,0.2370,0.8466,0.4170,0.3322
44,0.2315,0.7773,0.4449,0.3416
45,0.2401,0.7660,0.4454,0.3391
46,0.2225,0.7776,0.4430,0.3398
47,0.2192,0.7997,0.4589,0.3422
48,0.2171,0.8267,0.4250,0.3269
49,0.2118,0.7778,0.3929,0.3105
50,0.2142,0.8129,0.4273,0.3419
51,0.2015,0.7732,0.4431,0.3385
52,0.2079,0.8046,0.4578,0.3434
53,0.1982,0.8014,0.4492,0.3455
54,0.2092,0.7895,0.4403,0.3409
55,0.1875,0.7610,0.4363,0.3383
56,0.1936,0.7911,0.4472,0.3478
57,0.1895,0.7715,0.4627,0.3569
58,0.1871,0.7873,0.4431,0.3443
59,0.1769,0.7753,0.4653,0.3538
60,0.1847,0.8148,0.4417,0.3441
61,0.1775,0.7720,0.4397,0.3399
62,0.1844,0.7418,0.4439,0.3448
63,0.1785,0.7777,0.4600,0.3552
64,0.1852,0.8026,0.4135,0.3338
65,0.1690,0.7833,0.4473,0.3384
66,0.1711,0.7601,0.4535,0.3537
67,0.1714,0.7923,0.4280,0.3363
68,0.1694,0.7528,0.4393,0.3558
69,0.1639,0.7755,0.4366,0.3469
70,0.1649,0.7650,0.4627,0.3501
71,0.1730,0.7748,0.4287,0.3340
72,0.1674,0.7887,0.4350,0.3459
73,0.1698,0.7454,0.4293,0.3435
74,0.1585,0.7277,0.4618,0.3567
75,0.1880,0.6965,0.3728,0.2994
76,0.1882,0.7721,0.4352,0.3448
77,0.1564,0.7306,0.4490,0.3531
78,0.1583,0.7795,0.4421,0.3508
79,0.1674,0.7252,0.4593,0.3518
80,0.1542,0.7709,0.4427,0.3445
81,0.1477,0.8409,0.4197,0.3384
82,0.1945,0.7198,0.4285,0.3486
83,0.1526,0.7827,0.4294,0.3290
84,0.1517,0.7644,0.4480,0.3543
85,0.1470,0.7472,0.4408,0.3518
86,0.1609,0.7509,0.4395,0.3525
87,0.1408,0.8079,0.4332,0.3447
88,0.1499,0.7348,0.4277,0.3497
89,0.1492,0.7569,0.4396,0.3506
90,0.1440,0.7643,0.4365,0.3399
91,0.1452,0.7508,0.4560,0.3443
92,0.1434,0.7686,0.4407,0.3346
93,0.1394,0.7822,0.4623,0.3589
94,0.1467,0.7389,0.4289,0.3475
95,0.1399,0.7970,0.3951,0.3138
96,0.1428,0.7502,0.4633,0.3578
97,0.1582,0.7479,0.4412,0.3581
98,0.1414,0.7311,0.4416,0.3508
99,0.1419,0.7427,0.4451,0.3545
100,0.1535,0.7416,0.4268,0.3427
101,0.1410,0.7179,0.4503,0.3593
102,0.1436,0.7917,0.4175,0.3412
103,0.1358,0.7379,0.4382,0.3466
104,0.1371,0.7301,0.4247,0.3459
105,0.1395,0.7432,0.4190,0.3266
106,0.1342,0.7755,0.4282,0.3490
107,0.1464,0.7206,0.4314,0.3468
108,0.1491,0.7146,0.4220,0.3444
109,0.1296,0.7690,0.4106,0.3384
110,0.1336,0.7391,0.4393,0.3481
111,0.1337,0.7264,0.4472,0.3561
112,0.1344,0.7032,0.4507,0.3541
113,0.1293,0.7573,0.4350,0.3483
