epoch,train_loss,val_loss,mean_pixel_acc,miou
0,2.6283,1.3824,0.0476,0.0332
1,2.3227,1.2258,0.0753,0.0473
2,2.1596,1.1241,0.0684,0.0485
3,1.9998,1.0726,0.1014,0.0689
4,1.8414,1.0826,0.1030,0.0762
5,1.7054,0.9047,0.1465,0.1070
6,1.5998,0.8663,0.1873,0.1352
7,1.5190,0.8197,0.1940,0.1472
8,1.4413,0.8064,0.2325,0.1681
9,1.3642,0.7766,0.2489,0.1936
10,1.2972,0.7685,0.2404,0.1894
11,1.2248,0.7669,0.2789,0.2129
12,1.1523,0.8013,0.3160,0.2315
13,1.0810,0.8277,0.2809,0.2129
14,1.0076,0.7466,0.3293,0.2465
15,0.9406,0.7530,0.3310,0.2474
16,0.8706,0.8297,0.3383,0.2409
17,0.8078,0.9630,0.3360,0.2265
18,0.7513,0.9401,0.3022,0.2485
19,0.7072,0.7871,0.4081,0.2880
20,0.6572,0.7799,0.3550,0.2795
21,0.6219,0.8037,0.3936,0.2798
22,0.5903,0.8177,0.3924,0.2929
23,0.5633,0.8647,0.3806,0.2930
24,0.5283,0.8364,0.3756,0.2987
25,0.5044,0.8226,0.3961,0.2950
26,0.4833,0.8678,0.3839,0.2927
27,0.4580,0.8523,0.4040,0.3021
28,0.4675,0.8534,0.3389,0.2495
29,0.4286,0.8938,0.4036,0.3082
30,0.4123,0.8585,0.4037,0.2990
31,0.4034,0.9116,0.3870,0.2945
32,0.3965,0.8627,0.4094,0.3122
33,0.3713,0.8855,0.4343,0.2950
34,0.3697,0.8740,0.3992,0.2969
35,0.3442,0.8434,0.4219,0.3034
36,0.3436,0.8989,0.4232,0.2957
37,0.3367,0.9276,0.4053,0.3022
38,0.3347,0.9016,0.3992,0.3080
39,0.3175,0.8676,0.3889,0.3090
40,0.3037,0.8989,0.3960,0.3075
41,0.3068,0.9054,0.4122,0.3089
42,0.2981,0.9381,0.3791,0.3047
43,0.2942,0.9156,0.3944,0.3075
44,0.2905,0.9445,0.3816,0.3008
45,0.2793,0.8786,0.4369,0.3215
46,0.2767,0.8708,0.4116,0.3147
47,0.2671,0.8842,0.4340,0.3094
48,0.2615,0.8914,0.4082,0.3208
49,0.2598,0.8707,0.4184,0.3175
50,0.2492,0.9544,0.4022,0.3117
51,0.2387,0.8670,0.4275,0.3113
52,0.2436,0.8909,0.4151,0.3156
53,0.2392,0.8474,0.4046,0.3081
54,0.2523,0.8752,0.4224,0.3196
55,0.2181,0.9125,0.4021,0.3181
56,0.2294,0.8943,0.4166,0.3188
57,0.2288,0.8574,0.4253,0.3234
58,0.2321,0.8613,0.4054,0.3153
59,0.2122,0.9026,0.3974,0.3117
60,0.2198,0.8785,0.4070,0.3210
61,0.2125,0.8706,0.4170,0.3151
62,0.2177,0.8764,0.4182,0.3237
63,0.1943,0.8572,0.4181,0.3177
64,0.2013,0.8809,0.4058,0.3099
65,0.2051,0.9009,0.4024,0.3170
66,0.1933,0.9167,0.4121,0.3127
67,0.1975,0.8287,0.3922,0.3130
68,0.2073,0.8977,0.3969,0.3153
69,0.1908,0.8549,0.4190,0.3161
70,0.1867,0.9161,0.3920,0.3068
71,0.2003,0.8916,0.4150,0.3217
72,0.1849,0.8783,0.3880,0.3032
73,0.1878,0.8751,0.4078,0.3185
74,0.1821,0.8626,0.4054,0.3138
75,0.1789,0.8678,0.4063,0.3141
76,0.1753,0.8814,0.4196,0.3213
77,0.1812,0.8630,0.4185,0.3187
78,0.1724,0.9020,0.4085,0.3164
79,0.1745,0.8666,0.3987,0.3147
80,0.1689,0.8180,0.4400,0.3305
81,0.1720,0.8525,0.4082,0.3161
82,0.1646,0.8676,0.4016,0.3147
83,0.1665,0.8592,0.4141,0.3236
84,0.1624,0.8723,0.4337,0.3275
85,0.1642,0.8659,0.4085,0.3148
86,0.1631,0.8444,0.3999,0.3049
87,0.1989,0.8659,0.3883,0.3147
88,0.1684,0.9084,0.3848,0.3079
89,0.1592,0.8869,0.3959,0.3116
90,0.1607,0.8677,0.4009,0.3145
91,0.1567,0.9193,0.3900,0.3147
92,0.1565,0.8139,0.4170,0.3225
93,0.1546,0.8722,0.4142,0.3206
94,0.1502,0.8892,0.4011,0.3092
95,0.1507,0.8968,0.3985,0.3198
96,0.1589,0.8384,0.4043,0.3161
97,0.1517,0.8522,0.3989,0.3111
98,0.4234,0.8578,0.4070,0.3131
99,0.1416,0.8143,0.4054,0.3196
100,0.1537,0.8761,0.4035,0.3204
101,0.1463,0.8537,0.4070,0.3198
102,0.1520,0.7909,0.4227,0.3131
103,0.1417,0.8417,0.4079,0.3107
104,0.1439,0.8525,0.3827,0.2966
105,0.1443,0.8809,0.3968,0.3123
106,0.1906,0.8210,0.3931,0.3154
107,0.1406,0.8418,0.3822,0.3038
108,0.1367,1.0212,0.3581,0.2824
109,0.1396,0.9387,0.3681,0.2975
110,0.1384,0.9096,0.3962,0.3144
111,0.1418,0.8797,0.3871,0.3094
112,0.1458,0.8560,0.3808,0.3094
113,0.3855,0.8188,0.3889,0.3069
114,0.1574,0.7953,0.3993,0.3124
115,0.1402,0.8475,0.3899,0.3084
116,0.1464,0.8771,0.3728,0.3049
117,0.1339,0.8562,0.3960,0.3115
118,0.1478,0.8429,0.4040,0.3232
