epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.6177,1.3082,0.0476,0.0332
1,1.4636,1.2600,0.0499,0.0357
2,1.3411,1.1050,0.0679,0.0470
3,1.2417,1.0499,0.0962,0.0671
4,1.1514,0.9698,0.1318,0.0930
5,1.0642,0.8938,0.1504,0.1066
6,0.9993,0.8654,0.2025,0.1359
7,0.9510,0.8363,0.1895,0.1400
8,0.9014,0.7953,0.2362,0.1752
9,0.8601,0.8050,0.2129,0.1691
10,0.8249,0.7791,0.2179,0.1721
11,0.7871,0.7486,0.2695,0.2070
12,0.7551,0.8243,0.2715,0.1840
13,0.7188,0.7294,0.2999,0.2226
14,0.6832,0.7624,0.3009,0.2083
15,0.6456,0.7417,0.3196,0.2401
16,0.6138,0.7318,0.3364,0.2568
17,0.5825,0.6967,0.3401,0.2643
18,0.5619,0.7744,0.3414,0.2468
19,0.5358,0.7391,0.3172,0.2547
20,0.4968,0.7271,0.3788,0.2894
21,0.4740,0.7319,0.3946,0.2993
22,0.4483,0.7256,0.3926,0.3029
23,0.4315,0.7458,0.3940,0.2965
24,0.4100,0.7703,0.3807,0.2970
25,0.3949,0.7492,0.3946,0.3047
26,0.3782,0.7455,0.4165,0.3117
27,0.3632,0.7503,0.4025,0.3138
28,0.3523,0.7815,0.4311,0.3077
29,0.3408,0.7526,0.3881,0.3016
30,0.3318,0.7887,0.3808,0.2928
31,0.3182,0.7467,0.4090,0.3156
32,0.3080,0.7719,0.4216,0.3110
33,0.3003,0.7934,0.4008,0.3247
34,0.3066,0.8083,0.4018,0.3147
35,0.2902,0.8564,0.4080,0.3107
36,0.2855,0.8126,0.4026,0.3164
37,0.2799,0.7719,0.4426,0.3223
38,0.2670,0.8093,0.4316,0.3344
39,0.2608,0.8543,0.4129,0.3240
40,0.2631,0.7845,0.4127,0.3042
41,0.2520,0.8493,0.4472,0.3410
42,0.2603,0.8358,0.4380,0.3358
43,0.2386,0.8532,0.4102,0.3139
44,0.2371,0.8316,0.4194,0.3182
45,0.2346,0.8149,0.4182,0.3269
46,0.2322,0.8659,0.4295,0.3115
47,0.2305,0.8437,0.4066,0.3312
48,0.2313,0.8216,0.4226,0.3197
49,0.2258,0.8298,0.4352,0.3390
50,0.2183,0.8496,0.4438,0.3395
51,0.2122,0.8688,0.4372,0.3323
52,0.2083,0.8748,0.4360,0.3318
53,0.2123,0.7755,0.4300,0.3269
54,0.2110,0.7969,0.3760,0.2836
55,0.2115,0.8727,0.4272,0.3285
56,0.2007,0.8481,0.4079,0.3152
57,0.1968,0.7576,0.4530,0.3410
58,0.2045,0.7659,0.4569,0.3440
59,0.1980,0.8517,0.4164,0.3089
60,0.1904,0.8436,0.3897,0.3155
61,0.1968,0.8318,0.4435,0.3264
62,0.1962,0.8144,0.4337,0.3414
63,0.1860,0.7865,0.4456,0.3437
64,0.1902,0.8185,0.4362,0.3382
65,0.1917,0.7671,0.4488,0.3458
66,0.1788,0.7964,0.4350,0.3430
67,0.1787,0.7577,0.4249,0.3294
68,0.1762,0.8384,0.4608,0.3545
69,0.1735,0.8622,0.4349,0.3388
70,0.1833,0.7698,0.4341,0.3280
71,0.1742,0.8133,0.4400,0.3527
72,0.1714,0.8557,0.4365,0.3433
73,0.1757,0.7925,0.4414,0.3402
74,0.1667,0.7513,0.4313,0.3398
75,0.1741,0.7394,0.4435,0.3499
76,0.1626,0.7936,0.4313,0.3482
77,0.1686,0.7974,0.4362,0.3436
78,0.1638,0.7867,0.4113,0.3351
79,0.1684,0.7975,0.4384,0.3446
80,0.1596,0.7869,0.4358,0.3424
81,0.1716,0.8117,0.4521,0.3503
82,0.1590,0.8115,0.4243,0.3370
83,0.1599,0.7837,0.4074,0.3309
84,0.1600,0.7879,0.4319,0.3379
85,0.1564,0.7598,0.4326,0.3454
86,0.1631,0.7786,0.4422,0.3419
87,0.1544,0.7864,0.4234,0.3352
88,0.1482,0.9302,0.4369,0.3155
89,0.1506,0.7812,0.4038,0.3262
90,0.1497,0.8326,0.4152,0.3307
91,0.1481,0.8177,0.4167,0.3392
92,0.1496,0.8329,0.4392,0.3435
93,0.1463,0.8141,0.4424,0.3455
94,0.1546,0.8001,0.4261,0.3401
95,0.1433,0.8004,0.4332,0.3397
96,0.1442,0.8376,0.4350,0.3438
97,0.1472,0.7560,0.4247,0.3382
98,0.1416,0.7758,0.4473,0.3535
99,0.1482,0.7979,0.4380,0.3433
100,0.1479,0.7600,0.4282,0.3499
101,0.1438,0.7766,0.4441,0.3391
102,0.1385,0.7513,0.4376,0.3469
103,0.1371,0.7930,0.4499,0.3539
104,0.1480,0.7293,0.4196,0.3375
105,0.1371,0.7776,0.4367,0.3471
106,0.1424,0.8145,0.4282,0.3428
107,0.1358,0.8064,0.4721,0.3359
108,0.1392,0.7526,0.4586,0.3455
109,0.1409,0.7932,0.4379,0.3448
110,0.1513,0.7427,0.4200,0.3349
111,0.1395,0.7588,0.4278,0.3421
112,0.1331,0.7904,0.3789,0.2969
113,0.1351,0.7583,0.4221,0.3338
114,0.1342,0.7605,0.4449,0.3489
115,0.1374,0.8308,0.4119,0.3329
116,0.1440,0.7788,0.4372,0.3458
117,0.1318,0.7191,0.4357,0.3456
118,0.1342,0.7790,0.4345,0.3376
119,0.1413,0.7654,0.4173,0.3393
120,0.1309,0.7488,0.4470,0.3507
121,0.1294,0.8143,0.4460,0.3464
122,0.1303,0.7373,0.4437,0.3424
123,0.1292,0.7289,0.4224,0.3400
124,0.1292,0.7920,0.4388,0.3431
125,0.1328,0.7641,0.4297,0.3428
126,0.1327,0.7310,0.4096,0.3341
127,0.1265,0.8470,0.4292,0.3439
128,0.1297,0.7622,0.4073,0.3259
129,0.1371,0.7910,0.4293,0.3367
130,0.1283,0.7598,0.3809,0.3134
131,0.1278,0.7698,0.4299,0.3423
132,0.1233,0.7666,0.4294,0.3478
133,0.1221,0.7600,0.4425,0.3479
134,0.1253,0.7974,0.4180,0.3323
135,0.1225,0.7566,0.4394,0.3333
136,0.1241,0.8065,0.4398,0.3517
137,0.1223,0.7412,0.4444,0.3515
138,0.1228,0.7533,0.4234,0.3387
139,0.1288,0.7552,0.4345,0.3460
140,0.1210,0.7236,0.4330,0.3374
141,0.1220,0.7353,0.4262,0.3407
142,0.1214,0.7469,0.4358,0.3484
143,0.1169,0.7887,0.4325,0.3489
144,0.1254,0.7565,0.4249,0.3397
145,0.1210,0.7482,0.4261,0.3441
146,0.1115,0.7448,0.4026,0.3294
147,0.1802,0.7217,0.4187,0.3357
148,0.1072,0.8167,0.3927,0.3219
149,0.1201,0.7369,0.4250,0.3417
150,0.1310,0.7411,0.4367,0.3486
151,0.1206,0.7460,0.4223,0.3409
152,0.1148,0.7489,0.4068,0.3309
153,0.1171,0.7877,0.4164,0.3358
154,0.1134,0.7613,0.4324,0.3499
155,0.1169,0.7405,0.4159,0.3364
156,0.1135,0.7438,0.4271,0.3450
157,0.1169,0.7562,0.4257,0.3307
158,0.1204,0.7292,0.4254,0.3382
159,0.1142,0.7508,0.4224,0.3386
160,0.1158,0.7284,0.4127,0.3373
161,0.1227,0.7773,0.4146,0.3407
162,0.1127,0.7494,0.4140,0.3320
163,0.1208,0.7573,0.4021,0.3186
164,0.1116,0.7665,0.4224,0.3357
165,0.1230,0.7512,0.4384,0.3532
166,0.1194,0.7323,0.4259,0.3426
167,0.1108,0.7448,0.4401,0.3418
168,0.1110,0.8253,0.4262,0.3289
169,0.1181,0.8076,0.3902,0.3149
170,0.1150,0.7590,0.4326,0.3469
171,0.1098,0.7976,0.4096,0.3306
172,0.1075,0.8099,0.4248,0.3387
173,0.1124,0.8044,0.4126,0.3324
174,0.1104,0.7853,0.4319,0.3453
175,0.1103,0.7507,0.4289,0.3453
176,0.1072,0.8297,0.3322,0.2748
177,0.1103,0.7715,0.4231,0.3406
178,0.1066,0.7846,0.4352,0.3478
179,0.1041,0.7600,0.4247,0.3414
180,0.1073,0.7605,0.4219,0.3418
181,0.1132,0.7750,0.4204,0.3419
182,0.1081,0.8163,0.3709,0.2897
183,0.1083,0.7658,0.4245,0.3383
184,0.1052,0.7277,0.4432,0.3539
185,0.1015,0.7383,0.4097,0.3254
186,0.1068,0.7503,0.4279,0.3471
187,0.1076,0.8062,0.4239,0.3370
188,0.1017,0.7636,0.4177,0.3347
189,0.1061,0.7422,0.4368,0.3381
190,0.1031,0.7645,0.4041,0.3302
191,0.1052,0.7478,0.4246,0.3357
192,0.1039,0.7426,0.4243,0.3388
193,0.1064,0.7486,0.4319,0.3372
