epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.4869,1.3845,0.0476,0.0332
1,1.4148,1.3557,0.0476,0.0332
2,1.3753,1.3301,0.0476,0.0332
3,1.3412,1.2838,0.0476,0.0332
4,1.3112,1.2602,0.0476,0.0332
5,1.2906,1.2400,0.0476,0.0332
6,1.2817,1.3072,0.0479,0.0336
7,1.2674,1.2380,0.0479,0.0336
8,1.2548,1.2615,0.0476,0.0332
9,1.2464,1.2454,0.0484,0.0340
10,1.2336,1.2140,0.0480,0.0337
11,1.2278,1.2378,0.0480,0.0337
12,1.2234,1.1874,0.0579,0.0399
13,1.2087,1.1919,0.0553,0.0388
14,1.2141,1.2258,0.0522,0.0361
15,1.2002,1.1868,0.0710,0.0396
16,1.1869,1.1865,0.0653,0.0408
17,1.1781,1.2092,0.0783,0.0406
18,1.1702,1.2086,0.0692,0.0447
19,1.1601,1.1870,0.0796,0.0429
20,1.1505,1.1772,0.0762,0.0428
21,1.1332,1.1668,0.0763,0.0465
22,1.1301,1.1802,0.0792,0.0483
23,1.1196,1.1704,0.0760,0.0455
24,1.1047,1.2353,0.0880,0.0429
25,1.0928,1.1691,0.0816,0.0463
26,1.0806,1.2603,0.0797,0.0496
27,1.0734,1.1734,0.0763,0.0480
28,1.0109,1.0483,0.1356,0.0767
29,0.9200,0.9847,0.1423,0.0919
30,0.8843,1.0080,0.1549,0.0942
31,0.8529,0.9578,0.1831,0.1120
32,0.7994,0.9203,0.1863,0.1348
33,0.7601,0.9133,0.2063,0.1436
34,0.7314,0.9128,0.2137,0.1518
35,0.7150,0.9222,0.2211,0.1492
36,0.6694,0.8848,0.2391,0.1659
37,0.6414,0.8826,0.2317,0.1760
38,0.6154,0.8814,0.2635,0.1904
39,0.5916,0.9039,0.2617,0.1952
40,0.5618,0.8975,0.2686,0.1946
41,0.5366,1.1155,0.2637,0.1735
42,0.5120,0.9145,0.2706,0.2051
43,0.4884,0.8675,0.3107,0.2195
44,0.4663,0.9550,0.2774,0.2099
45,0.4465,0.9796,0.3060,0.2236
46,0.4245,0.9178,0.3299,0.2336
47,0.4039,0.9046,0.3140,0.2311
48,0.3907,1.0036,0.3517,0.2269
49,0.3753,0.9803,0.3058,0.2164
50,0.3548,0.9213,0.3213,0.2387
51,0.3445,0.9980,0.3129,0.2286
52,0.3333,0.9776,0.3254,0.2466
53,0.3195,0.9852,0.3105,0.2401
54,0.2999,0.9913,0.3513,0.2557
55,0.2966,1.1347,0.3557,0.2496
56,0.2809,1.0072,0.3460,0.2536
57,0.2708,1.0011,0.3168,0.2451
58,0.2812,1.0387,0.3619,0.2638
59,0.2507,0.9874,0.3507,0.2611
60,0.2444,1.1450,0.3191,0.2403
61,0.2362,1.0100,0.3579,0.2651
62,0.2356,1.0190,0.3722,0.2699
63,0.2278,0.9787,0.3616,0.2676
64,0.2200,1.0289,0.3487,0.2613
65,0.2138,0.9377,0.3585,0.2608
66,0.2074,1.0260,0.3578,0.2702
67,0.1992,1.0169,0.3501,0.2657
68,0.1987,1.0367,0.3642,0.2710
69,0.1883,1.0679,0.3833,0.2753
70,0.1884,1.0307,0.3518,0.2683
71,0.1790,1.1058,0.3560,0.2612
72,0.1770,1.0296,0.3691,0.2767
73,0.1738,0.9916,0.3662,0.2717
74,0.1724,1.0727,0.3630,0.2687
75,0.1645,1.0560,0.3728,0.2672
76,0.1657,0.9899,0.3670,0.2725
77,0.1566,1.1524,0.3461,0.2601
78,0.1612,1.0779,0.3596,0.2749
79,0.1528,1.0194,0.3660,0.2771
80,0.1464,1.1249,0.3634,0.2681
81,0.1455,1.0589,0.3711,0.2749
82,0.1413,1.0201,0.3673,0.2694
83,0.1425,0.9989,0.3716,0.2768
84,0.1337,1.0513,0.3646,0.2760
85,0.1329,1.0275,0.3789,0.2724
86,0.1333,1.0181,0.3688,0.2799
87,0.1324,0.9917,0.3935,0.2715
88,0.1290,1.0723,0.3808,0.2818
89,0.1248,1.0259,0.3717,0.2723
90,0.1253,1.0237,0.3264,0.2437
91,0.1196,1.0228,0.3915,0.2706
92,0.1212,1.0642,0.3692,0.2689
93,0.1177,1.0342,0.3865,0.2862
94,0.1157,1.0720,0.3668,0.2721
95,0.1161,1.2552,0.3343,0.2389
96,0.1159,1.0602,0.3843,0.2835
97,0.1128,0.9666,0.3735,0.2754
98,0.1110,1.0459,0.4049,0.2848
99,0.1090,1.0343,0.3740,0.2804
100,0.1054,1.0769,0.3710,0.2787
101,0.1080,1.0643,0.3724,0.2793
102,0.1089,1.0653,0.3507,0.2708
103,0.1034,1.0501,0.3870,0.2849
104,0.1074,1.1108,0.3744,0.2793
105,0.1045,1.0004,0.3900,0.2823
106,0.1003,0.9846,0.3994,0.2733
107,0.1016,1.1020,0.3525,0.2598
108,0.1036,1.0705,0.3765,0.2824
109,0.0976,1.0593,0.3880,0.2796
110,0.1002,0.9984,0.3805,0.2800
111,0.0971,1.0164,0.3616,0.2761
112,0.0923,1.0844,0.3605,0.2682
113,0.0985,1.0350,0.3660,0.2790
114,0.0951,1.0475,0.3751,0.2817
115,0.0983,0.9947,0.3855,0.2799
116,0.0931,1.0133,0.3821,0.2826
117,0.0888,1.0007,0.3780,0.2699
118,0.0895,1.0318,0.3498,0.2496
119,0.0933,1.0157,0.3767,0.2826
120,0.0905,1.0518,0.3822,0.2859
121,0.0880,1.0828,0.3757,0.2847
122,0.0886,1.0472,0.3733,0.2844
123,0.0876,1.1235,0.3714,0.2753
124,0.0852,1.0240,0.3891,0.2853
125,0.0863,1.0313,0.3966,0.2938
126,0.0880,0.9868,0.3823,0.2831
127,0.0846,1.0060,0.3791,0.2838
128,0.0811,1.0597,0.3777,0.2828
129,0.0860,1.0132,0.3794,0.2832
130,0.0805,1.0340,0.4030,0.2897
131,0.0775,1.0354,0.3860,0.2769
132,0.0830,1.0634,0.3731,0.2824
133,0.0812,1.1211,0.3667,0.2833
134,0.0853,1.0476,0.3841,0.2868
135,0.0913,1.0649,0.3622,0.2799
136,0.0796,0.9985,0.3525,0.2656
137,0.0775,1.0310,0.3798,0.2821
138,0.0824,1.0246,0.3965,0.2853
139,0.0880,1.0503,0.3806,0.2837
140,0.0805,0.9844,0.3855,0.2802
141,0.0776,1.0180,0.3964,0.2879
142,0.0816,1.0271,0.3862,0.2854
143,0.0918,1.0130,0.3823,0.2846
144,0.0760,1.0256,0.3800,0.2833
145,0.0824,1.0258,0.3862,0.2889
146,0.0810,1.0019,0.3754,0.2748
147,0.1005,0.9447,0.3589,0.2605
148,0.0798,1.0039,0.3644,0.2705
149,0.0770,1.0258,0.3715,0.2857
150,0.0744,1.0651,0.3814,0.2864
