epoch,train_loss,val_loss,mean_pixel_acc,miou
0,1.5957,1.3026,0.0527,0.0380
1,1.4532,1.4152,0.0476,0.0332
2,1.3890,1.1708,0.0586,0.0435
3,1.3006,1.0909,0.0764,0.0579
4,1.2611,1.0441,0.1008,0.0700
5,1.1792,0.9858,0.1190,0.0861
6,1.1124,0.9792,0.1391,0.0952
7,1.0531,0.9366,0.1551,0.0995
8,1.0138,0.8951,0.1679,0.1162
9,0.9793,0.8847,0.1601,0.1146
10,0.9480,0.8326,0.1887,0.1343
11,0.9152,0.8293,0.2084,0.1512
12,0.8817,0.8086,0.2078,0.1556
13,0.8548,0.8193,0.2024,0.1544
14,0.8129,0.7824,0.2394,0.1714
15,0.7852,0.7429,0.2663,0.1952
16,0.7626,0.7610,0.2872,0.2015
17,0.7273,0.7567,0.2864,0.2102
18,0.7055,0.7386,0.2944,0.2222
19,0.6740,0.7826,0.3074,0.2252
20,0.6570,0.7457,0.3200,0.2342
21,0.6285,0.7027,0.3358,0.2631
22,0.6035,0.7231,0.3276,0.2600
23,0.5814,0.7608,0.3529,0.2571
24,0.5601,0.7245,0.3492,0.2715
25,0.5376,0.7413,0.3509,0.2702
26,0.5277,0.7440,0.3542,0.2743
27,0.4970,0.7233,0.3574,0.2778
28,0.4848,0.7580,0.3559,0.2736
29,0.4659,0.7985,0.4281,0.2942
30,0.4469,0.7664,0.3820,0.2824
31,0.4363,0.7445,0.3776,0.2817
32,0.4112,0.7798,0.3948,0.2766
33,0.4086,0.7776,0.3926,0.2940
34,0.3978,0.7527,0.3772,0.2934
35,0.3827,0.7640,0.3833,0.2917
36,0.3725,0.7648,0.3984,0.2794
37,0.3591,0.7441,0.3846,0.2986
38,0.3500,0.7821,0.4047,0.3105
39,0.3389,0.8238,0.4204,0.3035
40,0.3326,0.8078,0.4297,0.3175
41,0.3194,0.7870,0.4084,0.2953
42,0.3159,0.8343,0.4078,0.2931
43,0.3050,0.8025,0.3940,0.3054
44,0.2940,0.8450,0.4061,0.3025
45,0.2929,0.8165,0.4183,0.3105
46,0.2906,0.8080,0.4242,0.3154
47,0.2766,0.8264,0.4173,0.3075
48,0.2783,0.7958,0.3768,0.2876
49,0.2650,0.8238,0.4324,0.3158
50,0.2660,0.8321,0.4205,0.3264
51,0.2626,0.8928,0.4291,0.3211
52,0.2618,0.8172,0.4310,0.3255
53,0.2473,0.8044,0.4171,0.3157
54,0.2438,0.8889,0.4297,0.3213
55,0.2428,0.8905,0.4192,0.3195
56,0.2343,0.8369,0.4212,0.3261
57,0.2358,0.8944,0.4147,0.3119
58,0.2288,0.8575,0.4324,0.3263
59,0.2347,0.8324,0.4111,0.3138
60,0.2187,0.9076,0.4064,0.3068
61,0.2253,0.9036,0.4249,0.3173
62,0.2246,0.8465,0.4447,0.3270
63,0.2115,0.8593,0.4158,0.3140
64,0.2157,0.8889,0.4192,0.3113
65,0.2099,0.8276,0.4210,0.3122
66,0.2149,0.9309,0.4001,0.2959
67,0.2202,0.8520,0.3894,0.3059
68,0.2049,0.9760,0.4100,0.2953
69,0.2032,0.9145,0.4072,0.2859
70,0.2019,0.9344,0.3824,0.3009
71,0.2000,0.8140,0.4318,0.3120
72,0.2007,0.8827,0.4234,0.3247
73,0.1976,0.8083,0.4334,0.3251
74,0.1869,0.8713,0.4436,0.3131
75,0.1874,0.8474,0.4051,0.3136
76,0.1933,0.8787,0.4141,0.3106
77,0.1851,0.9771,0.4020,0.2983
78,0.1821,0.7866,0.4247,0.3234
79,0.1787,0.9350,0.4347,0.3132
80,0.1834,0.8165,0.4228,0.3248
81,0.1725,0.8496,0.4359,0.3238
82,0.1800,0.8634,0.4054,0.3144
83,0.2055,0.8508,0.4046,0.3117
84,0.1736,0.8652,0.4487,0.3280
85,0.2272,0.8856,0.4123,0.3112
86,0.1635,0.8473,0.4336,0.3315
87,0.2733,0.8280,0.4384,0.3283
88,0.1818,0.8435,0.4032,0.3065
89,0.1639,0.8475,0.4071,0.3136
90,0.1711,0.8313,0.4216,0.3234
91,0.1710,0.9195,0.3790,0.2803
92,0.1838,0.8275,0.4121,0.3204
93,0.1731,0.7998,0.4297,0.3235
94,0.1614,0.8319,0.4037,0.3173
95,0.1684,0.8478,0.4321,0.3168
96,0.1618,0.8673,0.4304,0.3319
97,0.1607,0.8401,0.4053,0.3182
98,0.1698,0.8112,0.4333,0.3168
99,0.1559,0.8229,0.4223,0.3208
100,0.1512,0.8536,0.4179,0.3188
101,0.1556,0.7808,0.4326,0.3300
102,0.1497,0.8578,0.4225,0.3317
103,0.1673,0.8351,0.4305,0.3323
104,0.1472,0.8737,0.4226,0.3163
105,0.1520,0.8186,0.4308,0.3178
106,0.1603,0.9747,0.3952,0.3031
107,0.1532,0.8406,0.4182,0.3248
108,0.1569,0.8286,0.4161,0.3276
109,0.1508,0.8531,0.4125,0.3218
110,0.1490,0.7960,0.4038,0.3168
111,6.9322,0.7995,0.4065,0.3119
112,0.1719,0.8354,0.4289,0.3314
113,0.1370,0.8343,0.4264,0.3178
114,0.1483,0.9155,0.4166,0.3088
115,0.1528,0.7964,0.4096,0.3268
116,0.1455,0.7955,0.4216,0.3285
117,0.1562,0.7701,0.4134,0.3187
118,0.1434,0.8190,0.4047,0.2950
119,0.1659,0.7965,0.4422,0.3328
120,0.1385,0.8218,0.4144,0.3226
121,0.1414,0.8581,0.4308,0.3162
122,0.1437,0.8056,0.4194,0.3239
123,0.1553,0.8249,0.4252,0.3324
124,0.1429,0.8406,0.4298,0.3241
125,0.1561,0.7772,0.4121,0.3136
126,0.1402,0.8425,0.4275,0.3168
127,0.1498,0.8642,0.4245,0.3007
128,0.1350,0.7975,0.4086,0.3146
129,0.1368,0.8790,0.3594,0.2753
130,0.1558,0.7790,0.4193,0.3100
131,0.1258,0.8115,0.4027,0.3109
132,0.1341,0.8482,0.4035,0.3148
133,0.1483,0.7872,0.3804,0.2764
134,0.1407,0.8330,0.4199,0.3290
135,0.1404,0.9243,0.2829,0.2109
136,0.1345,0.8510,0.4345,0.3289
137,5.3783,0.7740,0.3492,0.2676
138,0.2264,0.8313,0.3958,0.3101
139,0.1334,0.8182,0.4036,0.3197
140,0.1405,0.8159,0.3812,0.3048
141,0.1465,0.7958,0.4141,0.3265
142,0.1634,0.7639,0.4222,0.3257
143,0.1282,0.8328,0.4262,0.3249
144,0.1325,0.7696,0.4287,0.3237
145,0.1428,0.8003,0.4439,0.3261
146,0.1327,0.7984,0.4159,0.3211
147,0.1341,0.7809,0.4132,0.3258
148,0.1319,0.7674,0.4085,0.3187
149,0.1429,0.8074,0.4191,0.3261
150,0.1266,0.8214,0.4231,0.3194
151,0.1524,0.7945,0.4137,0.3208
152,0.1232,0.8125,0.4139,0.3231
153,0.1295,0.8250,0.4126,0.3172
154,0.1305,0.8398,0.4035,0.3141
155,0.1359,0.7730,0.4254,0.3255
156,0.1302,0.7983,0.4157,0.3196
157,0.1404,0.7964,0.3985,0.3161
158,0.1290,0.8164,0.4276,0.3303
159,0.1368,0.7608,0.4210,0.3231
160,0.1253,0.8861,0.3136,0.2211
161,0.1334,0.8131,0.4319,0.3186
162,0.1243,0.8308,0.3891,0.3098
163,0.1224,0.8043,0.4140,0.3316
164,0.1240,0.9187,0.3833,0.2923
165,0.1212,0.8114,0.3929,0.2991
166,0.1227,0.8281,0.3798,0.2860
167,0.1325,0.8233,0.3752,0.2945
168,0.1283,0.7899,0.4175,0.3264
169,1.2273,0.7653,0.3802,0.3009
170,0.1370,0.7865,0.4193,0.3290
171,0.1252,0.7906,0.4102,0.3207
172,0.1259,0.7898,0.4143,0.3196
173,0.2354,0.8163,0.3838,0.3155
174,0.1206,0.7984,0.4089,0.3171
175,0.1227,0.8277,0.3807,0.3065
176,0.1474,0.7803,0.3938,0.3007
177,0.1236,0.8177,0.4128,0.3288
