Model,Epochs,Best Epoch,Best mIoU,mIoU last20,Pixel Acc,Train Loss,Val Loss
FCN8 Aux s16 λ=0.1,176,84,0.3632,0.3496,0.4573,0.16,0.7366
FCN8 Baseline,200,139,0.3594,0.3413,0.4614,0.1334,0.7556
FCN16 Baseline,200,99,0.3616,0.3393,0.4663,0.1547,0.7469
FCN8 Aux s16 λ=0.075,200,101,0.3593,0.3393,0.4503,0.141,0.7179
FCN8 Aux s16 λ=0.125,97,68,0.3599,0.3379,0.4776,0.1968,0.7366
FCN8 Interp s16 λ=0.1,200,199,0.3559,0.3372,0.4473,0.0991,0.7321
FCN8 Aux s16 λ=0.2,175,68,0.347,0.3349,0.4479,0.2272,0.7442
FCN8 Aux s16 λ=0.4,200,162,0.3585,0.3342,0.4674,0.1685,0.7321
FCN8 Upscale Aux s32 λ=0.1,200,106,0.3504,0.3292,0.4516,0.1172,0.7671
FCN8 Aux s32 λ=0.1,200,136,0.3359,0.311,0.4205,0.1374,0.7834
FCN8 Upscale Aux s16 λ=0.1,178,119,0.3328,0.3086,0.4422,0.1659,0.7965
FCN8 Aux s32 λ=0.4,200,64,0.3345,0.3067,0.4398,0.271,0.8092
FCN16 No Skip Aux s32 λ=0.1,200,123,0.3215,0.3065,0.4254,0.1088,0.8658
FCN8 Aux s16+s32 λ=0.4,200,80,0.3305,0.3059,0.44,0.1689,0.818
FCN16 Aux s32 λ=0.4,200,71,0.3265,0.3057,0.4214,0.1325,0.912
FCN8 No skip Aux s16 λ=0.1,149,141,0.313,0.301,0.4177,0.1202,0.8763
FCN32 Baseline,203,75,0.3115,0.2981,0.4156,0.0756,1.059
FCN16 No Skip Baseline,200,172,0.3094,0.298,0.4115,0.0692,0.9703
FCN32 Aux s32 λ=0.4,200,114,0.3176,0.2976,0.4217,0.1217,0.9012
FCN8 No skip Baseline,154,125,0.2938,0.2805,0.3966,0.0863,1.0313
